origin;id;catch_date;tl_mm;sl_mm;wet_weight_g;dry_weight_total;weight_dish;dry_weight_g;oto_1_2;oto_weight_mg;oto_diameter;foto;age;quality
richie_seabull;1;208;NA;NA;NA;NA;NA;NA;1;1.8198;NA;y;106;44211
richie_seabull;2;208;NA;NA;NA;NA;NA;NA;2;2.0179;NA;y;104;43222
richie_seabull;4;208;NA;NA;NA;NA;NA;NA;1;1.8846;NA;y;92;33233
richie_seabull;5;208;NA;NA;NA;NA;NA;NA;2;2.0239;NA;y;109;31113
richie_seabull;9;208;NA;NA;NA;NA;NA;NA;1;3.017;NA;y;93;33223
richie_seabull;11;208;NA;NA;NA;NA;NA;NA;1;2.1371;NA;y;107;44223
richie_seabull;13;208;NA;NA;NA;NA;NA;NA;1;1.2514;NA;y;109;4433
steffen;46;153;7.6;NA;NA;NA;NA;NA;1;3.8158;NA;y;111;333333
steffen;48;153;8.1;NA;NA;NA;NA;NA;2;4.6602;NA;y;78;444
seabull_13_7_16;example;195;62;56;1.72;28.971;28.67;0.301;1;2.158;2.8063;y;115;22111
seabull_13_7_16;8;195;62;56;1.72;28.971;28.67;0.301;2;2.1378;NA;n;NA;NA
seabull_13_7_16;14;195;65;60;1.744;37.787;37.49;0.297;1;1.9337;2.7213;y;111;3111
seabull_13_7_16;14;195;65;60;1.744;37.787;37.49;0.297;2;1.9475;NA;n;NA;NA
seabull_13_7_16;36;195;64;58;1.773;44.665;44.35;0.315;1;2.1663;2.8202;n;NA;NA
seabull_13_7_16;36;195;64;58;1.773;44.665;44.35;0.315;2;2.1659;NA;y;116;431112
seabull_13_7_16;37;195;64;58;1.889;48.77;48.409;0.361;1;2.6233;3.0241;y;106;211112
seabull_13_7_16;37;195;64;58;1.889;48.77;48.409;0.361;2;2.579;NA;n;NA;NA
seabull_13_7_16;41;195;62;55;1.567;36.652;36.362;0.29;1;2.1437;2.6835;y;115;411111
seabull_13_7_16;41;195;62;55;1.567;36.652;36.362;0.29;2;2.0269;NA;n;NA;NA
seabull_13_7_16;42;195;62;56;1.591;48.117;47.826;0.291;1;2.1004;2.7411;y;121;31113
seabull_13_7_16;42;195;62;56;1.591;48.117;47.826;0.291;2;2.1366;NA;n;NA;NA
seabull_13_7_16;44;195;61;56;1.613;43.85;43.559;0.291;1;1.8054;2.6702;n;NA;NA
seabull_13_7_16;44;195;61;56;1.613;43.85;43.559;0.291;2;1.7862;NA;n;NA;NA
seabull_13_7_16;45;195;63;58;1.824;28.766;28.439;0.327;1;1.981;2.7561;y;127;2111
seabull_13_7_16;45;195;63;58;1.824;28.766;28.439;0.327;2;2.0372;NA;n;NA;NA
seabull_13_7_16;46;195;63;58;1.825;52.616;52.289;0.327;1;2.4636;2.9973;n;NA;NA
seabull_13_7_16;46;195;63;58;1.825;52.616;52.289;0.327;2;2.3927;2.9489;y;120;21111
seabull_13_7_16;47;195;63;58;1.834;44.213;43.881;0.332;1;2.3635;2.8879;n;NA;NA
seabull_13_7_16;47;195;63;58;1.834;44.213;43.881;0.332;2;2.3843;2.9042;y;131;4111113
